Query,Time
Announce Happy Valentines Day,19
Do dogs dream?,35
Do you like cats or dogs?,12
Flip a coin.,10
Give me a dinosaur fact,18
Give me a fun fact about sleep,16
Give me a patriots burn.,15
Good Morning,27
Help,22
How deep is the Indian Ocean?,14
how do you spell appreciate?,22
How far away is the moon?,15
How hot is the sun?,35
how many days are in September?,10
How many days in a year?,13
How many days until christmas?,15
How many days until Thanksgiving?,15
How many fantasy points does LeBron James have?,23
How many ounces in a pound?,13
how many seconds are in a year?,22
how many teaspoons are in a tablespoon?,13
How much does an elephant weigh?,18
How much is an ounce of gold?,24
How old are you?,13
How old is Henry Winkler?,17
how old is Serena Williams?,17
how tall is Steph Curry?,15
how tall is the Empire State Building?,16
how tall is The Rock?,13
Is a tomato a fruit or a vegetable?,19
Pick a number?,13
Surprise me.,65
Talk like a pirate.,20
Tell me a barbecue joke.,16
Tell me a coffee joke.,15
Tell me a fun fact.,16
Tell me a Halloween hack.,22
Tell me a joke.,18
Tell me a palindrome,18
Tell me a Star Wars joke.,16
Tell me some good news.,30
Tell me something weird.,38
Translate good morning to Spanish.,17
What are some flower shops nearby?,30
What are the most popular books this week?,48
What are the standings in the English Premier League?,30
What are you thankful for?,16
What can you do?,28
What happened in the midterm elections?,18
What is brief mode?,21
What is gluten?,20
What is Homecoming about?,33
What is my sports update?,38
What is my traffic report?,20
What is on your mind?,20
What is Roblox?,22
What is the AFC North Standings?,23
What is the best comedy movie?,33
What is the capital of Spain?,13
What is the date tomorrow?,15
What is the fourth book in the Narnia series?,22
What is the history of Labor Day?,37
What is the longest word?,40
What is the number one song this week?,18
What is the price of bitcoin?,17
What is the scariest movie of all time?,22
What is the score of the Eagles game?,17
What is the score of the Red Sox game?,23
What is the time in Singapore?,15
What is the weather for Sunday?,20
What is the weather?,19
What is trending?,34
What is your favorite flower?,17
What is your favorite game?,17
What is your favorite hobby?,15
What is your favorite sport?,20
What is your mission?,15
What is zero divided by zero?,17
What movies are playing?,36
What were yesterdays scores?,30
When does daylight saving time end?,20
When does Game of Thrones return?,18
When is Easter?,17
When is Boxing Day?,17
When is Hanukkah?,17
When is the NBA all star game?,21
When is the next full moon?,21
Where did Yoda live?,26
Where is Mount Rushmore?,40
Who do you love?,18
Who is in Mastodon?,33
Who is nominated for best actor?,26
Who is playing Monday Night Football?,14
Who is second in the NBA Western Conference?,17
Who is winning the World Series?,16
Who is your favorite author?,18
Who is your favorite poet?,19
Who is your favorite superhero?,22
Who scored for the Golden Knights?,20
Why do leaves change color in the fall?,38
Will it rain tomorrow?,15
What time is it?, 15
